%time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1609054399155988932,0,1609054399155988932,-5.545709834055494e-05,-0.004450020493355271,-7.86547567116558e-05,5.605504875418295e-05,0.00010653281218337095,6.192088821931637e-05,0.999999990837197,0.000800056681533737,0.0017039522587448258,0.0007716847748573308,0.0,0.0,0.0
1609054399256351471,1,1609054399256351471,0.0056664067140548904,0.0039465135805860675,-1.6342966777755288e-05,-7.447862303572494e-06,0.0001042325417542816,0.00017194676858709422,0.9999999797572064,0.057773451808888515,0.08756736725257555,0.0018613249689638357,0.0,0.0,0.0
1609054399355526924,2,1609054399355526924,0.006196909978608685,0.008122804226210867,0.0007962050048425001,5.1364195492359175e-06,0.00013374933887640682,-9.274839248219858e-05,0.9999999867412324,0.024973027051754956,0.05926811087040179,0.007027976800122081,0.0,0.0,0.0
1609054399456287146,3,1609054399456287146,0.007474399797748622,0.00875649342039223,0.0009696670157691947,3.271541795335363e-05,0.00011120530301894021,5.9925988930670165e-06,0.9999999932635842,0.018145557719074376,0.033117659448591505,0.005053567383156992,0.0,0.0,0.0
1609054399555489540,4,1609054399555489540,0.00827923688927592,0.004330613323740037,0.00028493150451523334,1.955743923738722e-05,0.00015539018903497202,6.032449537800112e-05,0.9999999859161738,0.01187796889146289,-0.001855372641864847,-0.0018325990382331118,0.0,0.0,0.0
1609054399656260967,5,1609054399656260967,0.007848495610203664,0.0032826659466360982,-0.0001479259178881249,1.2406377958842535e-05,9.703326556603324e-05,2.5893029946601576e-05,0.9999999948800874,0.001824659665741843,-0.005653698029233899,-0.003802020573933611,0.0,0.0,0.0
1609054399755528450,6,1609054399755528450,0.0074203230990285965,0.008280564460252215,-0.0003970827411954089,1.0433849384550057e-05,0.00014894749786775985,0.00013359927623434825,0.9999999799285034,-0.0028163587798299035,0.020050141806988445,-0.003247089096917687,0.0,0.0,0.0
1609054399856309414,7,1609054399856309414,0.006566359789939474,0.007160077611993055,-0.0001244580474985412,1.611366819479835e-06,0.00012851501685932432,5.343553876692134e-06,0.9999999917263678,-0.007524882833762509,0.007574593050450842,0.0007347489291860058,0.0,0.0,0.0
1609054399956744909,8,1609054399956744909,0.005751281527389104,-3.852387825529162e-05,0.0002285855292399797,7.634022557786822e-06,0.00010671524110441268,0.00015375186528672174,0.9999999824569689,-0.009744849621015557,-0.027862076978102675,0.0034953265806964996,0.0,0.0,0.0
1609054400056328297,9,1609054400056328297,0.0028319204863266707,0.002626865455391848,0.00033485025307428747,8.80254870203753e-06,0.00012780278769961438,9.497642152803353e-05,0.9999999872842184,-0.022487626207992994,-0.005895755714690046,0.0029504141534816494,0.0,0.0,0.0
1609054400155579805,10,1609054400155579805,0.0024682187192941294,0.009197699253563715,0.000786620823101431,1.2468709609781935e-05,0.00013965410051420104,6.426738870719711e-05,0.9999999881054803,-0.01632349840042933,0.025211843547702666,0.004237446533795076,0.0,0.0,0.0
1609054400255939484,11,1609054400255939484,0.004011267310611795,0.005498029020246061,0.0004500932819934521,3.064087021547216e-05,0.0001356594882092491,4.852732180895621e-05,0.9999999891513667,-0.0030379631979482735,0.0009201359752155323,2.7450318083289786e-05,0.0,0.0,0.0
1609054400355528593,12,1609054400355528593,0.005343314693005699,0.006718028821701591,0.00044950181072196503,7.525583803448446e-06,0.00014432115541773672,5.3243613738288366e-05,0.9999999881399398,0.0037293289200146917,0.0065446781489573265,0.001426904915959073,0.0,0.0,0.0
1609054400456720829,13,1609054400456720829,0.005772137590521964,0.008249531686633676,0.000955297859217947,2.1092241595642354e-05,0.00013191646877667022,-7.5367123975327864e-06,0.9999999910481765,0.00332115159709082,0.011259500680715014,0.004570054876049512,0.0,0.0,0.0
1609054400555516958,14,1609054400555516958,0.007288526889036557,0.0073580760194830305,0.000770603219872046,1.2620801255685483e-05,0.00012725822014540933,6.855852385832239e-05,0.9999999894728905,0.008672762137657185,0.004512962302392649,0.0014070141366624577,0.0,0.0,0.0
1609054400656593084,15,1609054400656593084,0.007699940318782075,0.009857716105505475,0.0006561157843321911,2.3608271969727885e-05,0.00012977181945325012,-1.1872563063880312e-05,0.9999999912304782,0.006166282314071368,0.012675279205423613,0.000542635474634331,0.0,0.0,0.0
1609054400755426645,16,1609054400755426645,0.0072560605455835306,0.007619073425227909,0.0006276162742453688,2.440472632420094e-05,0.00013295894729029031,3.5177326462828266e-05,0.9999999902444364,0.0007086891350782569,-0.00010841183602750687,-2.4859183757964534e-05,0.0,0.0,0.0
1609054400856652737,17,1609054400856652737,0.0062094761539481826,0.0046338036080412065,0.0004904314551948766,2.0502583487718264e-05,0.00014475969080054914,7.56852814535477e-05,0.9999999864480007,-0.005361660843488458,-0.011577862071042498,-0.0006781237661072111,0.0,0.0,0.0
1609054400955452442,18,1609054400955452442,0.006803607632925987,0.00252927225150489,0.0006561161631031472,2.9950558905321942e-05,0.00015142161363540497,8.159834352517325e-05,0.9999999847580782,-0.0007270248580730203,-0.014998425035652024,0.0005698709899213613,0.0,0.0,0.0
1609054401055468082,19,1609054401055468082,0.006038796091149742,0.003871282584352211,0.0004990239980481886,-5.575123257982487e-06,0.0001373021521133578,8.153449552561308e-05,0.9999999872345751,-0.003721385975320205,-0.0033555101944965846,-0.00016172049865176828,0.0,0.0,0.0
1609054401155398130,20,1609054401155398130,0.00793017601142445,0.006810479723831395,0.00028633812155716355,9.436186238540197e-06,0.00012280879188298978,4.968272667194186e-06,0.999999992402131,0.006359379416317237,0.010258718539870674,-0.0009948304595014462,0.0,0.0,0.0
1609054401255383730,21,1609054401255383730,0.008273955940226615,0.0040492110098107065,0.0004518860798007336,2.3865561907846132e-05,0.00011348801329179724,-1.1589558001815713e-05,0.999999993208287,0.004385582634736544,-0.004185553684436821,0.0004837434566877044,0.0,0.0,0.0
1609054401355398417,22,1609054401355398417,0.007768770327038574,0.0028575771337899384,0.00038579487446083926,2.3810784495215623e-05,0.00014455235466935903,0.00011693426099735813,0.999999982432014,-0.0004448617195538817,-0.007203768026784433,0.0004845271830402748,0.0,0.0,0.0
1609054401456926346,23,1609054401456926346,0.007633698392271056,0.004470316402003127,0.00024386680023398696,-1.7312837890463477e-06,0.0001513808831895323,5.8607929825380574e-05,0.9999999868229631,-0.0011914042858187156,0.00223702426934287,-0.00017462354189295103,0.0,0.0,0.0
1609054401555819273,24,1609054401555819273,0.005389893778783857,0.008483956601084907,0.00022012525761040767,2.1254413985349345e-05,0.00012627074858201145,4.767922625784875e-05,0.9999999906653118,-0.010658608323189496,0.017846428132747373,0.0007455218093757863,0.0,0.0,0.0
